QuestionNumber,Text,Subscale,ReverseScored,UserResponse,ScoredResponse
Q1,I like most parts of my personality.,Self-Acceptance,Yes,3,5
Q2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Self-Acceptance,Yes,1,7
Q3,"Some people wander aimlessly through life, but I am not one of them.",Purpose in Life,Yes,2,6
Q4,The demands of everyday life often get me down.,Environmental Mastery,No,2,2
Q5,In many ways I feel disappointed about my achievements in life.,Self-Acceptance,No,7,7
Q6,Maintaining close relationships has been difficult and frustrating for me.,Positive Relations,No,1,1
Q7,I live life one day at a time and don't really think about the future.,Purpose in Life,No,1,1
Q8,"In general, I feel I am in charge of the situation in which I live.",Environmental Mastery,Yes,2,6
Q9,I am good at managing the responsibilities of daily life.,Environmental Mastery,Yes,3,5
Q10,I sometimes feel as if I've done all there is to do in life.,Purpose in Life,No,1,1
Q11,"For me, life has been a continuous process of learning, changing, and growth.",Personal Growth,Yes,2,6
Q12,I think it is important to have new experiences that challenge how I think about myself and the world.,Personal Growth,Yes,3,5
Q13,"People would describe me as a giving person, willing to share my time with others.",Positive Relations,Yes,5,3
Q14,I gave up trying to make big improvements or changes in my life a long time ago.,Personal Growth,No,7,7
Q15,I tend to be influenced by people with strong opinions.,Autonomy,No,3,3
Q16,I have not experienced many warm and trusting relationships with others.,Positive Relations,No,3,3
Q17,"I have confidence in my own opinions, even if they are different from the way most other people think.",Autonomy,Yes,1,7
Q18,"I judge myself by what I think is important, not by the values of what others think is important.",Autonomy,Yes,3,5
